Sexo,Horas de estudio por semana,Porcentaje de asistencia,Calificaciones previas,Nivel de educación de los padres,Acceso a internet,Extracurricular_Activities,Calificación,Condición
Femenino,29,92.536373,55,Doctorado,No,No,61,Aprobado
Masculino,38,61.79530173,60,Secundario,No,No,54,Reprobado
Masculino,26,85.80895374,78,Universitario,Sí,Sí,58,Reprobado
Femenino,15,77.83607924,95,Maestría,No,Sí,61,Aprobado
Femenino,23,85.70295999,98,Universitario,No,No,60,Aprobado
Femenino,35,98.77706578,66,Maestría,No,Sí,71,Aprobado
Masculino,38,76.75348595,70,Universitario,No,No,64,Aprobado
Masculino,10,86.8702603,52,Universitario,Sí,No,50,Reprobado
Femenino,21,71.33944527,55,Secundario,Sí,No,50,Reprobado
Femenino,20,75.76180274,94,Universitario,No,No,56,Reprobado
Masculino,24,86.3060422,91,Secundario,Sí,Sí,65,Aprobado
Femenino,39,54.61452931,73,Secundario,No,Sí,60,Aprobado
Femenino,38,91.82824066,64,Doctorado,Sí,Sí,61,Aprobado
Femenino,21,51.59023407,74,Universitario,Sí,Sí,50,Reprobado
Femenino,26,70.44775885,83,Secundario,Sí,No,57,Reprobado
Masculino,12,90.37151259,63,Secundario,Sí,No,53,Reprobado
Masculino,17,53.33095562,85,Secundario,No,Sí,50,Reprobado
Femenino,18,93.93145577,81,Universitario,No,Sí,57,Reprobado
Femenino,29,81.83221608,51,Maestría,No,Sí,52,Reprobado
Masculino,31,84.56109288,71,Maestría,Sí,Sí,56,Reprobado
Femenino,18,63.18419013,90,Maestría,Sí,Sí,57,Reprobado
Masculino,13,68.94107828,68,Maestría,No,No,50,Reprobado
Masculino,38,81.20507721,59,Doctorado,Sí,No,60,Aprobado
Masculino,24,89.38949444,95,Secundario,Sí,Sí,61,Aprobado
Masculino,17,91.25536657,67,Maestría,No,No,59,Reprobado
Masculino,35,90.25223338,82,Secundario,Sí,Sí,68,Aprobado
Masculino,24,69.86590577,69,Maestría,No,No,54,Reprobado
Femenino,11,84.68588037,88,Universitario,No,Sí,67,Aprobado
Masculino,35,95.53120018,66,Secundario,Sí,No,65,Aprobado
Masculino,19,74.05439742,61,Secundario,Sí,No,51,Reprobado
Femenino,33,56.94123867,89,Universitario,Sí,No,59,Reprobado
Femenino,21,95.86978065,58,Universitario,Sí,Sí,66,Aprobado
Femenino,35,66.71814057,65,Maestría,No,Sí,58,Reprobado
Femenino,21,84.94229266,90,Maestría,Sí,Sí,63,Aprobado
Masculino,16,64.70223396,84,Secundario,No,No,50,Reprobado
Femenino,23,84.84807312,74,Doctorado,No,Sí,68,Aprobado
Femenino,30,99.8846308,98,Maestría,Sí,No,74,Aprobado
Masculino,12,84.58571986,80,Secundario,No,Sí,60,Aprobado
Femenino,30,95.63747314,78,Secundario,Sí,No,61,Aprobado
Femenino,39,61.66082058,98,Universitario,Sí,No,63,Aprobado
Masculino,38,76.75348595,70,Universitario,No,No,64,Aprobado
Femenino,15,77.83607924,95,Maestría,No,Sí,61,Aprobado
Femenino,38,91.82824066,64,Doctorado,Sí,Sí,61,Aprobado
Masculino,11,94.98337226,91,Secundario,No,No,57,Reprobado
Masculino,32,55.83480321,89,Universitario,No,No,59,Reprobado
Masculino,31,79.41318785,67,Universitario,No,Sí,65,Aprobado
Masculino,28,90.26574837,74,Doctorado,No,Sí,64,Aprobado
Femenino,31,87.8540601,88,Maestría,Sí,No,65,Aprobado
Masculino,37,79.86390411,73,Doctorado,No,Sí,70,Aprobado
Femenino,31,76.49200116,55,Maestría,Sí,No,50,Reprobado
Femenino,31,87.8540601,88,Maestría,Sí,No,65,Aprobado
Masculino,37,92.32039247,61,Maestría,No,No,61,Aprobado
Femenino,19,71.57640716,62,Universitario,No,Sí,52,Reprobado
Femenino,27,92.07648302,99,Universitario,No,No,65,Aprobado
Masculino,31,66.87234169,81,Doctorado,Sí,No,59,Reprobado
Masculino,14,80.1978936,56,Doctorado,No,No,52,Reprobado
Masculino,30,72.98407564,65,Secundario,No,No,54,Reprobado
Femenino,20,59.22314357,96,Universitario,No,Sí,64,Aprobado
Femenino,18,63.4336241,86,Secundario,No,No,50,Reprobado
Masculino,31,77.58612976,99,Maestría,Sí,No,66,Aprobado
Femenino,10,81.65490317,62,Doctorado,No,Sí,50,Reprobado
Masculino,34,74.00229835,71,Doctorado,No,No,54,Reprobado
Masculino,26,52.58177389,58,Maestría,Sí,Sí,50,Reprobado
Femenino,34,87.9196207,74,Maestría,Sí,No,58,Reprobado
Masculino,14,61.26663989,63,Secundario,Sí,No,50,Reprobado
Femenino,21,91.87453945,96,Maestría,Sí,Sí,65,Aprobado
Femenino,34,88.56233343,96,Universitario,Sí,Sí,72,Aprobado
Femenino,39,81.86157899,95,Doctorado,No,Sí,61,Aprobado
Femenino,31,78.66471891,71,Universitario,No,No,55,Reprobado
Masculino,33,71.02678893,74,Secundario,Sí,No,58,Reprobado
Femenino,35,60.36138245,93,Universitario,No,No,63,Aprobado
Femenino,27,77.79032907,67,Universitario,No,Sí,58,Reprobado
Femenino,39,86.52745684,61,Universitario,No,Sí,53,Reprobado
Masculino,37,86.04065482,64,Secundario,No,No,61,Aprobado
Femenino,15,79.37268021,83,Secundario,Sí,No,61,Aprobado
Masculino,19,59.00336362,50,Universitario,Sí,Sí,50,Reprobado
Masculino,14,94.87152049,74,Maestría,Sí,Sí,63,Aprobado
Masculino,16,91.5685745,72,Universitario,No,Sí,52,Reprobado
Masculino,11,76.7667782,72,Doctorado,No,Sí,57,Reprobado
Femenino,22,70.12750218,66,Maestría,Sí,No,50,Reprobado
Femenino,34,78.288831,87,Secundario,Sí,Sí,65,Aprobado
Masculino,21,95.52356392,62,Maestría,No,No,50,Reprobado
Femenino,14,87.66231104,57,Doctorado,Sí,No,55,Reprobado
Masculino,38,68.15296061,79,Secundario,No,Sí,60,Aprobado
Masculino,12,74.3178741,81,Doctorado,Sí,Sí,50,Reprobado
Femenino,11,84.68588037,88,Universitario,No,Sí,67,Aprobado
Masculino,35,66.03210961,62,Doctorado,No,No,50,Reprobado
Femenino,15,91.85394954,93,Universitario,No,Sí,67,Aprobado
Femenino,30,91.04307366,60,Secundario,No,No,50,Reprobado
Femenino,14,57.73360704,57,Doctorado,No,Sí,52,Reprobado
Femenino,15,76.32892333,66,Doctorado,No,Sí,50,Reprobado
Masculino,21,71.85966982,98,Secundario,Sí,No,62,Aprobado
Femenino,35,98.77706578,66,Maestría,No,Sí,71,Aprobado
Femenino,23,85.70295999,98,Universitario,No,No,60,Aprobado
Masculino,33,95.77568386,89,Maestría,Sí,No,69,Aprobado
Masculino,17,63.49556112,80,Doctorado,Sí,No,53,Reprobado
Femenino,26,55.11063321,71,Secundario,Sí,No,50,Reprobado
Femenino,12,84.38923585,61,Universitario,Sí,Sí,50,Reprobado
Femenino,21,84.94229266,90,Maestría,Sí,Sí,63,Aprobado
Femenino,32,67.76812259,88,Universitario,No,No,56,Reprobado
Femenino,35,73.00595795,74,Doctorado,No,Sí,60,Aprobado
Femenino,17,97.46533985,55,Universitario,No,No,50,Reprobado
Femenino,39,54.61452931,73,Secundario,No,Sí,60,Aprobado
Femenino,10,52.34482339,52,Doctorado,No,No,50,Reprobado
Femenino,27,71.93723377,92,Secundario,Sí,Sí,59,Reprobado
Masculino,17,98.94657178,57,Universitario,Sí,No,50,Reprobado
Femenino,29,68.86429826,92,Secundario,No,No,64,Aprobado
Femenino,35,61.0048607,60,Universitario,Sí,No,50,Reprobado
Masculino,13,84.22857739,100,Maestría,Sí,Sí,65,Aprobado
Masculino,37,67.38096072,86,Secundario,Sí,No,65,Aprobado
Femenino,35,78.65754246,76,Doctorado,Sí,Sí,60,Aprobado
Masculino,22,66.96356229,73,Maestría,No,No,61,Aprobado
Femenino,32,75.58285068,86,Maestría,Sí,Sí,63,Aprobado
Femenino,35,87.08434721,73,Maestría,No,Sí,60,Aprobado
Masculino,13,95.53430991,56,Universitario,No,Sí,60,Aprobado
Masculino,39,51.52360764,92,Maestría,No,No,64,Aprobado
Femenino,14,72.9494494,93,Doctorado,No,No,54,Reprobado
Masculino,32,93.03160089,78,Universitario,Sí,Sí,77,Aprobado
Masculino,32,85.54762394,97,Universitario,No,Sí,64,Aprobado
Masculino,21,59.21854603,99,Secundario,Sí,Sí,60,Aprobado
Femenino,33,87.29872628,73,Maestría,No,Sí,72,Aprobado
Femenino,32,98.39868827,64,Doctorado,Sí,No,67,Aprobado
Masculino,38,65.38886199,93,Doctorado,No,No,67,Aprobado
Femenino,39,76.8295323,62,Maestría,Sí,Sí,68,Aprobado
Masculino,35,90.25223338,82,Secundario,Sí,Sí,68,Aprobado
Femenino,25,82.56836055,63,Secundario,Sí,Sí,54,Reprobado
Femenino,32,93.36074905,83,Maestría,No,No,66,Aprobado
Femenino,12,70.21907508,51,Maestría,Sí,No,50,Reprobado
Masculino,37,97.76181564,57,Secundario,No,No,59,Reprobado
Masculino,26,68.88629737,87,Universitario,Sí,Sí,65,Aprobado
Masculino,20,88.92859695,89,Doctorado,No,Sí,61,Aprobado
Masculino,10,77.74078043,84,Universitario,No,Sí,56,Reprobado
Femenino,27,53.17559148,57,Maestría,Sí,No,50,Reprobado
Femenino,23,72.54552237,62,Universitario,Sí,No,50,Reprobado
Femenino,32,75.58285068,86,Maestría,Sí,Sí,63,Aprobado
Femenino,29,53.79667052,53,Universitario,No,Sí,50,Reprobado
Masculino,31,68.26784098,86,Secundario,Sí,Sí,63,Aprobado
Femenino,28,90.03748857,78,Maestría,Sí,No,67,Aprobado
Femenino,34,58.27566587,51,Secundario,No,No,54,Reprobado
Masculino,25,50.13554497,83,Secundario,Sí,Sí,50,Reprobado
Masculino,27,88.26781405,64,Doctorado,Sí,Sí,67,Aprobado
Femenino,28,96.20208796,83,Secundario,No,Sí,67,Aprobado
Femenino,31,67.14634321,58,Secundario,No,No,50,Reprobado
Masculino,37,90.29324434,52,Doctorado,Sí,No,56,Reprobado
Masculino,39,99.86277674,83,Maestría,No,No,64,Aprobado
Femenino,34,80.8631856,94,Doctorado,No,Sí,65,Aprobado
Masculino,39,99.86277674,83,Maestría,No,No,64,Aprobado
Femenino,22,53.44607697,61,Doctorado,No,Sí,50,Reprobado
Femenino,28,87.21248259,75,Universitario,No,No,65,Aprobado
Masculino,38,68.15296061,79,Secundario,No,Sí,60,Aprobado
Femenino,39,54.61452931,73,Secundario,No,Sí,60,Aprobado
Femenino,36,95.92273625,88,Secundario,Sí,No,64,Aprobado
Masculino,26,64.39648082,53,Secundario,No,Sí,50,Reprobado
Femenino,21,72.59743006,80,Maestría,Sí,No,58,Reprobado
Masculino,38,68.15296061,79,Secundario,No,Sí,60,Aprobado
Masculino,38,94.98236986,84,Doctorado,Sí,No,71,Aprobado
Masculino,35,59.97534637,75,Secundario,No,No,59,Reprobado
Femenino,31,67.57700806,96,Doctorado,No,Sí,62,Aprobado
Masculino,38,81.20507721,59,Doctorado,Sí,No,60,Aprobado
Masculino,27,99.02884001,85,Secundario,Sí,Sí,64,Aprobado
Femenino,28,50.37671816,53,Doctorado,No,No,50,Reprobado
Masculino,30,87.73176459,84,Doctorado,No,Sí,69,Aprobado
Femenino,30,55.713365,78,Maestría,Sí,No,50,Reprobado
Femenino,38,99.4364391,79,Maestría,Sí,Sí,68,Aprobado
Masculino,32,80.37776111,87,Secundario,No,No,69,Aprobado
Femenino,28,70.2624044,99,Doctorado,No,Sí,62,Aprobado
Masculino,38,68.8369485,64,Secundario,Sí,No,50,Reprobado
Femenino,38,82.25270839,95,Universitario,No,No,76,Aprobado
Femenino,24,84.88209357,81,Universitario,No,Sí,67,Aprobado
Femenino,25,73.81053484,75,Doctorado,No,No,50,Reprobado
Femenino,37,93.053401,81,Universitario,No,Sí,61,Aprobado
Femenino,35,92.22203363,95,Maestría,No,Sí,64,Aprobado
Femenino,23,54.39438123,90,Doctorado,Sí,Sí,53,Reprobado
Masculino,35,98.75335815,89,Universitario,Sí,No,71,Aprobado
Masculino,22,84.14910317,100,Secundario,Sí,Sí,63,Aprobado
Femenino,35,56.65584643,100,Doctorado,No,No,57,Reprobado
Masculino,34,74.69907436,94,Universitario,No,Sí,53,Reprobado
Femenino,31,67.07816052,59,Universitario,No,No,50,Reprobado
Masculino,22,84.14910317,100,Secundario,Sí,Sí,63,Aprobado
Femenino,28,76.06503337,72,Doctorado,No,No,54,Reprobado
Masculino,13,87.07304556,95,Universitario,No,Sí,58,Reprobado
Femenino,16,74.77118132,62,Secundario,No,No,50,Reprobado
Femenino,17,57.84888414,86,Universitario,No,Sí,50,Reprobado
Femenino,37,76.48308393,82,Secundario,No,Sí,63,Aprobado
Femenino,38,50.26269093,52,Secundario,No,Sí,51,Reprobado
Masculino,21,71.85966982,98,Secundario,Sí,No,62,Aprobado
Masculino,10,52.20827189,93,Maestría,Sí,Sí,52,Reprobado
Masculino,21,71.85966982,98,Secundario,Sí,No,62,Aprobado
Femenino,33,87.99777045,56,Maestría,Sí,No,55,Reprobado
Masculino,30,89.02478538,69,Maestría,Sí,No,56,Reprobado
Femenino,19,87.95179228,100,Secundario,No,No,64,Aprobado
Femenino,30,55.24345833,98,Universitario,No,No,62,Aprobado
Masculino,13,94.71086314,64,Maestría,Sí,Sí,50,Reprobado
Masculino,36,53.86605327,85,Universitario,No,Sí,53,Reprobado
Femenino,29,66.07913823,98,Maestría,No,Sí,60,Aprobado
Masculino,21,71.85966982,98,Secundario,Sí,No,62,Aprobado
Femenino,29,94.83051315,61,Secundario,Sí,No,50,Reprobado
Femenino,31,87.8540601,88,Maestría,Sí,No,65,Aprobado
Femenino,26,93.91103337,94,Secundario,No,No,65,Aprobado
Masculino,26,70.63967753,56,Doctorado,No,Sí,55,Reprobado
Femenino,17,53.41248527,91,Secundario,Sí,No,50,Reprobado
Femenino,19,57.05409244,69,Maestría,No,No,50,Reprobado
Masculino,25,95.02861506,65,Maestría,Sí,Sí,50,Reprobado
Masculino,13,85.70320411,73,Secundario,Sí,No,53,Reprobado
Masculino,13,84.22857739,100,Maestría,Sí,Sí,65,Aprobado
Masculino,18,51.71140554,67,Maestría,Sí,No,50,Reprobado
